MSR_DT,STTN_NM,PM25,PM10,O3,CO,SO2,NO2,Month,Hour
2023-09-10 03:00:00,삼방동,6.0,7.0,,0.22,0.0016,0.005,9.0,3.0
2023-09-15 19:00:00,삼방동,7.0,11.0,0.029,0.36,0.0017,0.013,9.0,19.0
2023-01-10 07:00:00,삼방동,38.0,69.0,0.006,0.5,0.003,0.032,1.0,7.0
2023-08-01 13:00:00,삼방동,,,0.019,0.09,0.0014,0.003,8.0,13.0
2023-10-20 11:00:00,삼방동,6.0,13.0,0.03,0.26,0.0018,0.011,10.0,11.0
2023-02-19 01:00:00,삼방동,24.0,27.0,0.002,0.8,0.003,0.028,2.0,1.0
2023-09-22 03:00:00,삼방동,10.0,17.0,0.031,0.21,0.0011,,9.0,3.0
2023-05-31 02:00:00,삼방동,5.0,15.0,0.049,0.38,0.0025,0.004,5.0,2.0
2023-10-09 12:00:00,삼방동,6.0,17.0,0.034,0.26,0.0018,0.007,10.0,12.0
2023-03-04 01:00:00,삼방동,14.0,25.0,0.034,0.4,0.003,0.019,3.0,1.0
,삼방동,4.0,5.0,0.023,0.25,0.0021,0.007,,
2023-05-22 17:00:00,삼방동,30.0,109.0,0.046,0.19,0.002,0.01,5.0,17.0
2023-02-07 21:00:00,삼방동,28.0,41.0,0.049,0.5,0.003,0.01,2.0,21.0
2023-08-22 10:00:00,삼방동,18.0,25.0,0.021,0.42,0.0036,0.011,8.0,10.0
2023-08-20 07:00:00,삼방동,20.0,23.0,0.024,0.6,0.0014,0.007,8.0,7.0
2023-09-20 19:00:00,삼방동,9.0,13.0,0.03,0.33,0.0011,0.01,9.0,19.0
2023-10-25 08:00:00,삼방동,22.0,37.0,0.006,0.53,0.0018,0.036,10.0,8.0
2023-02-13 03:00:00,삼방동,16.0,25.0,0.05,0.5,0.003,0.005,2.0,3.0
2023-12-08 15:00:00,삼방동,22.0,81.0,0.0538,0.36,0.0024,0.0119,12.0,15.0
2023-07-29 05:00:00,삼방동,15.0,29.0,0.01,0.29,0.0017,0.01,7.0,5.0
2023-10-08 11:00:00,삼방동,5.0,17.0,0.036,0.26,0.002,0.007,10.0,11.0
2023-12-28 13:00:00,삼방동,27.0,59.0,0.0504,0.41,0.0035,0.012,12.0,13.0
2023-03-24 11:00:00,삼방동,29.0,119.0,0.047,0.3,0.002,0.006,3.0,11.0
2023-02-16 20:00:00,삼방동,11.0,9.0,0.02,0.4,0.003,0.027,2.0,20.0
2023-03-03 20:00:00,삼방동,17.0,27.0,0.018,0.5,0.003,0.035,3.0,20.0
2023-03-16 18:00:00,삼방동,13.0,43.0,0.047,0.4,0.003,0.019,3.0,18.0
2023-11-07 02:00:00,삼방동,11.0,45.0,0.037,0.25,0.0021,0.007,11.0,2.0
2023-06-28 23:00:00,삼방동,7.0,17.0,0.029,0.34,0.0033,0.008,6.0,23.0
2023-10-04 07:00:00,삼방동,14.0,17.0,0.018,0.31,0.0018,0.009,10.0,7.0
2023-03-11 15:00:00,삼방동,29.0,69.0,0.074,0.5,0.003,0.016,3.0,15.0
2023-12-23 05:00:00,삼방동,5.0,17.0,0.0318,0.28,0.0021,0.0072,12.0,5.0
2023-04-30 05:00:00,삼방동,11.0,31.0,0.045,0.27,0.002,0.004,4.0,5.0
2023-06-08 14:00:00,삼방동,,,,,,,6.0,14.0
